step,lr,train_loss,val_loss,tokens_per_sec
0,1.500e-07,11.5031,,
1,3.000e-07,11.5007,,
2,4.500e-07,11.4896,,
3,6.000e-07,11.4798,,
4,7.500e-07,11.4578,,
5,9.000e-07,11.4385,,
6,1.050e-06,11.4090,,
7,1.200e-06,11.3796,,
8,1.350e-06,11.3367,,
9,1.500e-06,11.2824,,
10,1.650e-06,11.2265,,
11,1.800e-06,11.1563,,
12,1.950e-06,11.0603,,
13,2.100e-06,10.9721,,
14,2.250e-06,10.8929,,
15,2.400e-06,10.8255,,
16,2.550e-06,10.7928,,
17,2.700e-06,10.7147,,
18,2.850e-06,10.6702,,
19,3.000e-06,10.6108,,
20,3.150e-06,10.5795,,
21,3.300e-06,10.5245,,
22,3.450e-06,10.4973,,
23,3.600e-06,10.4537,,
24,3.750e-06,10.4226,,
25,3.900e-06,10.3709,,
26,4.050e-06,10.3489,,
27,4.200e-06,10.3117,,
28,4.350e-06,10.2893,,
29,4.500e-06,10.2665,,
30,4.650e-06,10.2361,,
31,4.800e-06,10.1990,,
32,4.950e-06,10.1881,,
33,5.100e-06,10.1395,,
34,5.250e-06,10.1234,,
35,5.400e-06,10.1091,,
36,5.550e-06,10.0668,,
37,5.700e-06,10.0578,,
38,5.850e-06,10.0166,,
39,6.000e-06,10.0283,,
40,6.150e-06,9.9847,,
41,6.300e-06,9.9744,,
42,6.450e-06,9.9360,,
43,6.600e-06,9.9457,,
44,6.750e-06,9.9189,,
45,6.900e-06,9.8535,,
46,7.050e-06,9.8692,,
47,7.200e-06,9.8314,,
48,7.350e-06,9.8136,,
49,7.500e-06,9.7991,,
50,7.650e-06,9.7824,,
51,7.800e-06,9.7857,,
52,7.950e-06,9.7250,,
53,8.100e-06,9.6911,,
54,8.250e-06,9.6862,,
55,8.400e-06,9.6816,,
56,8.550e-06,9.6418,,
57,8.700e-06,9.6265,,
58,8.850e-06,9.6219,,
59,9.000e-06,9.5942,,
60,9.150e-06,9.5190,,
61,9.300e-06,9.5279,,
62,9.450e-06,9.5212,,
63,9.600e-06,9.5157,,
64,9.750e-06,9.4660,,
65,9.900e-06,9.4455,,
66,1.005e-05,9.4502,,
67,1.020e-05,9.4121,,
68,1.035e-05,9.3999,,
69,1.050e-05,9.4064,,
70,1.065e-05,9.3771,,
71,1.080e-05,9.3338,,
72,1.095e-05,9.3536,,
73,1.110e-05,9.3356,,
74,1.125e-05,9.2724,,
75,1.140e-05,9.2645,,
76,1.155e-05,9.2448,,
77,1.170e-05,9.2097,,
78,1.185e-05,9.2165,,
79,1.200e-05,9.1651,,
80,1.215e-05,9.1707,,
81,1.230e-05,9.1932,,
82,1.245e-05,9.1375,,
83,1.260e-05,9.1385,,
84,1.275e-05,9.1340,,
85,1.290e-05,9.0808,,
86,1.305e-05,9.0809,,
87,1.320e-05,9.0730,,
88,1.335e-05,9.0669,,
89,1.350e-05,9.0134,,
90,1.365e-05,9.0278,,
91,1.380e-05,8.9844,,
92,1.395e-05,8.9611,,
93,1.410e-05,8.9266,,
94,1.425e-05,8.9350,,
95,1.440e-05,8.9114,,
96,1.455e-05,8.8779,,
97,1.470e-05,8.9144,,
98,1.485e-05,8.8516,,
99,1.500e-05,8.8670,,
100,1.515e-05,8.8209,8.681065225601197,
101,1.530e-05,8.8199,,
102,1.545e-05,8.7862,,
103,1.560e-05,8.7706,,
104,1.575e-05,8.7544,,
105,1.590e-05,8.7474,,
106,1.605e-05,8.7220,,
107,1.620e-05,8.6893,,
108,1.635e-05,8.6945,,
109,1.650e-05,8.6790,,
110,1.665e-05,8.6555,,
111,1.680e-05,8.6388,,
112,1.695e-05,8.6366,,
113,1.710e-05,8.6246,,
114,1.725e-05,8.6172,,
115,1.740e-05,8.5936,,
116,1.755e-05,8.5937,,
117,1.770e-05,8.5839,,
118,1.785e-05,8.5510,,
119,1.800e-05,8.5198,,
120,1.815e-05,8.5391,,
121,1.830e-05,8.5023,,
122,1.845e-05,8.4791,,
123,1.860e-05,8.4844,,
124,1.875e-05,8.4661,,
125,1.890e-05,8.4304,,
126,1.905e-05,8.4440,,
127,1.920e-05,8.4570,,
128,1.935e-05,8.4570,,
129,1.950e-05,8.3830,,
130,1.965e-05,8.3631,,
131,1.980e-05,8.3755,,
132,1.995e-05,8.3758,,
133,2.010e-05,8.3417,,
134,2.025e-05,8.3606,,
135,2.040e-05,8.3238,,
136,2.055e-05,8.3188,,
137,2.070e-05,8.3172,,
138,2.085e-05,8.2908,,
139,2.100e-05,8.3014,,
140,2.115e-05,8.2477,,
141,2.130e-05,8.2328,,
142,2.145e-05,8.2289,,
143,2.160e-05,8.2069,,
144,2.175e-05,8.2161,,
145,2.190e-05,8.2070,,
146,2.205e-05,8.1878,,
147,2.220e-05,8.1694,,
148,2.235e-05,8.1699,,
149,2.250e-05,8.1365,,
150,2.265e-05,8.1354,,
151,2.280e-05,8.1616,,
152,2.295e-05,8.1317,,
153,2.310e-05,8.1084,,
154,2.325e-05,8.0583,,
155,2.340e-05,8.0796,,
156,2.355e-05,8.0913,,
157,2.370e-05,8.0775,,
158,2.385e-05,8.0340,,
159,2.400e-05,8.0526,,
160,2.415e-05,8.0065,,
161,2.430e-05,7.9943,,
162,2.445e-05,8.0243,,
163,2.460e-05,7.9873,,
164,2.475e-05,7.9761,,
165,2.490e-05,8.0127,,
166,2.505e-05,7.9570,,
167,2.520e-05,7.9399,,
168,2.535e-05,7.9416,,
169,2.550e-05,7.9277,,
170,2.565e-05,7.9105,,
171,2.580e-05,7.9191,,
172,2.595e-05,7.8843,,
173,2.610e-05,7.8905,,
174,2.625e-05,7.8486,,
175,2.640e-05,7.8892,,
176,2.655e-05,7.7809,,
177,2.670e-05,7.8205,,
178,2.685e-05,7.8490,,
179,2.700e-05,7.7996,,
180,2.715e-05,7.7925,,
181,2.730e-05,7.7936,,
182,2.745e-05,7.7761,,
183,2.760e-05,7.7706,,
184,2.775e-05,7.7311,,
185,2.790e-05,7.7956,,
186,2.805e-05,7.7132,,
187,2.820e-05,7.7065,,
188,2.835e-05,7.7136,,
189,2.850e-05,7.7042,,
190,2.865e-05,7.6636,,
191,2.880e-05,7.6911,,
192,2.895e-05,7.6538,,
193,2.910e-05,7.6646,,
194,2.925e-05,7.6479,,
195,2.940e-05,7.6593,,
196,2.955e-05,7.6085,,
197,2.970e-05,7.6224,,
198,2.985e-05,7.5947,,
199,3.000e-05,7.5847,,
200,3.015e-05,7.5729,7.484756064414978,
201,3.030e-05,7.5653,,
202,3.045e-05,7.5699,,
203,3.060e-05,7.5388,,
204,3.075e-05,7.5466,,
205,3.090e-05,7.5362,,
206,3.105e-05,7.4984,,
207,3.120e-05,7.5135,,
208,3.135e-05,7.5233,,
209,3.150e-05,7.4746,,
210,3.165e-05,7.4566,,
211,3.180e-05,7.4978,,
212,3.195e-05,7.4963,,
213,3.210e-05,7.4925,,
214,3.225e-05,7.4741,,
215,3.240e-05,7.4454,,
216,3.255e-05,7.4752,,
217,3.270e-05,7.4193,,
218,3.285e-05,7.4079,,
219,3.300e-05,7.3666,,
220,3.315e-05,7.4008,,
221,3.330e-05,7.3342,,
222,3.345e-05,7.4195,,
223,3.360e-05,7.3580,,
224,3.375e-05,7.3538,,
225,3.390e-05,7.3715,,
226,3.405e-05,7.3370,,
227,3.420e-05,7.3098,,
228,3.435e-05,7.3102,,
229,3.450e-05,7.2950,,
230,3.465e-05,7.3051,,
231,3.480e-05,7.3109,,
232,3.495e-05,7.2945,,
233,3.510e-05,7.2531,,
234,3.525e-05,7.2535,,
235,3.540e-05,7.2493,,
236,3.555e-05,7.2495,,
237,3.570e-05,7.2761,,
238,3.585e-05,7.2375,,
239,3.600e-05,7.2382,,
240,3.615e-05,7.2174,,
241,3.630e-05,7.1598,,
242,3.645e-05,7.2046,,
243,3.660e-05,7.2003,,
244,3.675e-05,7.1839,,
245,3.690e-05,7.1354,,
246,3.705e-05,7.1539,,
247,3.720e-05,7.1477,,
248,3.735e-05,7.1083,,
249,3.750e-05,7.1366,,
250,3.765e-05,7.0949,,
251,3.780e-05,7.1068,,
252,3.795e-05,7.1089,,
253,3.810e-05,7.1148,,
254,3.825e-05,7.0935,,
255,3.840e-05,7.0931,,
256,3.855e-05,7.0928,,
257,3.870e-05,7.0509,,
258,3.885e-05,7.0567,,
259,3.900e-05,7.0240,,
260,3.915e-05,7.0658,,
261,3.930e-05,7.0480,,
262,3.945e-05,7.0210,,
263,3.960e-05,7.0491,,
264,3.975e-05,6.9967,,
265,3.990e-05,6.9941,,
266,4.005e-05,7.0115,,
267,4.020e-05,6.9684,,
268,4.035e-05,6.9509,,
269,4.050e-05,6.9698,,
270,4.065e-05,6.9326,,
271,4.080e-05,6.9390,,
272,4.095e-05,6.9627,,
273,4.110e-05,6.9137,,
274,4.125e-05,6.9502,,
275,4.140e-05,6.9375,,
276,4.155e-05,6.9128,,
277,4.170e-05,6.9493,,
278,4.185e-05,6.8944,,
279,4.200e-05,6.8672,,
280,4.215e-05,6.8913,,
281,4.230e-05,6.8863,,
282,4.245e-05,6.8911,,
283,4.260e-05,6.8625,,
284,4.275e-05,6.8508,,
285,4.290e-05,6.8620,,
286,4.305e-05,6.8336,,
287,4.320e-05,6.8167,,
288,4.335e-05,6.8211,,
289,4.350e-05,6.8305,,
290,4.365e-05,6.8122,,
291,4.380e-05,6.7771,,
292,4.395e-05,6.7944,,
293,4.410e-05,6.8128,,
294,4.425e-05,6.7793,,
295,4.440e-05,6.8162,,
296,4.455e-05,6.7708,,
297,4.470e-05,6.7694,,
298,4.485e-05,6.7568,,
299,4.500e-05,6.7426,,
300,4.515e-05,6.7266,6.315854382514954,
301,4.530e-05,6.7267,,
302,4.545e-05,6.6889,,
303,4.560e-05,6.7633,,
304,4.575e-05,6.7297,,
305,4.590e-05,6.7084,,
306,4.605e-05,6.7194,,
307,4.620e-05,6.6863,,
308,4.635e-05,6.6839,,
309,4.650e-05,6.6902,,
310,4.665e-05,6.6344,,
311,4.680e-05,6.6962,,
312,4.695e-05,6.6419,,
313,4.710e-05,6.6805,,
314,4.725e-05,6.6567,,
315,4.740e-05,6.6730,,
316,4.755e-05,6.6228,,
317,4.770e-05,6.6220,,
318,4.785e-05,6.6255,,
319,4.800e-05,6.6132,,
320,4.815e-05,6.5808,,
321,4.830e-05,6.6018,,
322,4.845e-05,6.5783,,
323,4.860e-05,6.6014,,
324,4.875e-05,6.5805,,
325,4.890e-05,6.5901,,
326,4.905e-05,6.5587,,
327,4.920e-05,6.5698,,
328,4.935e-05,6.5624,,
329,4.950e-05,6.5511,,
330,4.965e-05,6.5534,,
331,4.980e-05,6.5501,,
332,4.995e-05,6.5471,,
333,5.010e-05,6.5475,,
334,5.025e-05,6.5246,,
335,5.040e-05,6.5267,,
336,5.055e-05,6.5648,,
337,5.070e-05,6.4815,,
338,5.085e-05,6.5065,,
339,5.100e-05,6.4795,,
340,5.115e-05,6.4666,,
341,5.130e-05,6.4844,,
342,5.145e-05,6.4710,,
343,5.160e-05,6.4876,,
344,5.175e-05,6.4933,,
345,5.190e-05,6.4301,,
346,5.205e-05,6.4411,,
347,5.220e-05,6.4366,,
